# marvel-crawler — Marvel_Comics_supervillains crawl (2026-09-13)
# Wikipedia Category:Marvel_Comics_supervillains: one node per page; edge A -> B
# when the article of A links to the article of B. 370 nodes, 1136 directed edges.
# 43 nodes have no edge in either direction — take the full node set from the nodes file.
source	target
Hobgoblin_(Marvel_Comics)	Rose_(Marvel_Comics)
Hobgoblin_(Marvel_Comics)	Tinkerer_(Marvel_Comics)
Hobgoblin_(Marvel_Comics)	Venom_(character)
Hulk	Absorbing_Man
Hulk	Beyonder
Hulk	Deadpool
Hulk	Devil_Hulk
Hulk	Gargoyle_(comics)
Hulk	Glenn_Talbot
Hulk	Leader_(character)
Hulk	Maestro_(character)
Hulk	Norman_Osborn
Hulk	Red_Hulk
Hulk	Thunderbolt_Ross
Human_Cannonball_(Marvel_Comics)	Hulk
Human_Cannonball_(Marvel_Comics)	Princess_Python
Human_Cannonball_(Marvel_Comics)	Ringmaster_(comics)
Human_Fly_(character)	Farley_Stillwell
Human_Fly_(character)	Mac_Gargan
Human_Fly_(character)	Spider-Woman
Humus_Sapien	Ogre_(Marvel_Comics)
Hurricane_(comics)	Cyber_(Marvel_Comics)
Hurricane_(comics)	Quicksilver_(Marvel_Comics)
Hurricane_(comics)	Selene_(comics)
Hydro-Man	Foreigner_(character)
Hydro-Man	Jackal_(Marvel_Comics_character)
Hydro-Man	Norman_Osborn
Hydro-Man	Overdrive_(character)
Hypno-Hustler	Deadpool
Hypno-Hustler	Equinox_(comics)
Hypno-Hustler	Tinkerer_(Marvel_Comics)
Hypno-Hustler	Tombstone_(character)
In-Betweener	Libra_(Marvel_Comics)
In-Betweener	Thanos
Iron_Man_2020	Blizzard_(Marvel_Comics)
Iron_Monger	Guardsman_(character)
Isbisa	Eddie_Brock
Isbisa	Hulk
Isbisa	Venom_(character)
Jackal_(Marvel_Comics_character)	Carrion_(comics)
Jackal_(Marvel_Comics_character)	Eddie_Brock
Jackal_(Marvel_Comics_character)	Green_Goblin
Jackal_(Marvel_Comics_character)	Grizzly_(comics)
Jackal_(Marvel_Comics_character)	Hydro-Man
Jackal_(Marvel_Comics_character)	Lizard_(character)
Jackal_(Marvel_Comics_character)	Norman_Osborn
Jackal_(Marvel_Comics_character)	Scarlet_Spider
Jackal_(Marvel_Comics_character)	Spider-Girl
Jackal_(Marvel_Comics_character)	Tarantula_(Marvel_Comics)
Jackhammer_(comics)	Power_Broker_(character)
Jackhammer_(comics)	Silvermane
Janice_Lincoln	Silvermane
Janice_Lincoln	Tinkerer_(Marvel_Comics)
Janice_Lincoln	Tombstone_(character)
Jason_Macendale	Doppelganger_(Marvel_Comics)
Jason_Macendale	Foreigner_(character)
Jason_Macendale	Hobgoblin_(Marvel_Comics)
Jason_Macendale	Norman_Osborn
Jerry_Jaxon	Wild_Child_(character)
Jester_(Marvel_Comics)	Hydro-Man
John_Ryker	Devil_Hulk
John_Ryker	Hulk
John_Ryker	Norman_Osborn
John_Ryker	Thunderbolt_Ross
Jonas_Harrow	Green_Goblin
Jonas_Harrow	Kangaroo_(character)
Jonas_Harrow	Living_Laser
Jonas_Harrow	Will_o'_the_Wisp_(comics)
Kaluu	Varnae
Kangaroo_(character)	Grizzly_(comics)
Kangaroo_(character)	Jonas_Harrow
Kangaroo_(character)	Spot_(Marvel_Comics)
Karla_Sofen	Deadpool
Karla_Sofen	Doctor_Faustus_(character)
Karla_Sofen	Egghead_(Marvel_Comics)
Karla_Sofen	Lloyd_Bloch
Karla_Sofen	Noh-Varr
Karla_Sofen	Norman_Osborn
Kearson_DeWitt	Iron_Monger
Kearson_DeWitt	Professor_Power
Kearson_DeWitt	Ultimo_(Marvel_Comics)
Kingpin_(Matt_Murdock)	Black_Cat_(Marvel_Comics)
Kingpin_(Matt_Murdock)	Silvermane
Kingpin_(Matt_Murdock)	Venom_(character)
Korath_the_Pursuer	Deathbird
Korath_the_Pursuer	Phalanx_(comics)
Korath_the_Pursuer	Ronan_the_Accuser
Korath_the_Pursuer	Thanos
Korath_the_Pursuer	Ultron
Krang_(Marvel_Comics)	Attuma
Krang_(Marvel_Comics)	Lemuel_Dorcas
Krang_(Marvel_Comics)	Nomad_(Marvel_Comics)
Krang_(Marvel_Comics)	Orka_(character)
Krang_(Marvel_Comics)	Puppet_Master_(Marvel_Comics)
Kristoff_Vernard	Nathaniel_Richards_(Marvel_Comics)
Kristoff_Vernard	Zarrko
Kulan_Gath	Selene_(comics)
Kulan_Gath	Zarathos
Kurse_(comics)	Beyonder
Lady_Gorgon	Rampage_(Marvel_Comics)
Lash_(comics)	Gorgon_(Inhuman)
Lash_(comics)	Hellfire_(J._T._Slade)
Lash_(comics)	Thanos
Laufey_(character)	Ulik
Leader_(character)	Devil_Hulk
Leader_(character)	Hulk
Leader_(character)	Red_Hulk
Leader_(character)	Super-Skrull
Leader_(character)	Thunderbolt_Ross
Lemuel_Dorcas	Attuma
Lemuel_Dorcas	Krang_(Marvel_Comics)
Lemuel_Dorcas	Orka_(character)
Lemuel_Dorcas	Tiger_Shark_(Marvel_Comics)
Leo_(comics)	Aries_(character)
Leo_(comics)	Hulk
Leo_(comics)	Quicksilver_(Marvel_Comics)
Leo_(comics)	Sagittarius_(comics)
Leo_(comics)	Scorpio_(Marvel_Comics)
Leo_(comics)	Taurus_(Marvel_Comics)
Leo_(comics)	Thanos
Libra_(Marvel_Comics)	Quicksilver_(Marvel_Comics)
Libra_(Marvel_Comics)	Thanos
Lightmaster	Absorbing_Man
Lightmaster	Mister_Hyde_(Marvel_Comics)
Lightmaster	Mister_Negative
Lightmaster	Tarantula_(Marvel_Comics)
Living_Brain	Answer_(comics)
Living_Laser	Batroc_the_Leaper
Living_Monolith	Apocalypse_(character)
Living_Monolith	Deathbird
Living_Monolith	Ego_the_Living_Planet
Living_Monolith	Mister_Sinister
Living_Monolith	Sentinel_(comics)
Lizard_(character)	Beyonder
Lizard_(character)	Carrion_(comics)
Lizard_(character)	Eddie_Brock
Lizard_(character)	Emma_Frost
Lizard_(character)	Gentleman_(character)
Lizard_(character)	Hydro-Man
Lizard_(character)	Jackal_(Marvel_Comics_character)
Lizard_(character)	Maker_(character)
Lizard_(character)	Mister_Hyde_(Marvel_Comics)
Lizard_(character)	Morbius
Lizard_(character)	Mysterio
Lizard_(character)	Norman_Osborn
Lizard_(character)	Silvermane
Lizard_(character)	Venom_(character)
Lloyd_Bloch	Karla_Sofen
Lloyd_Bloch	Tumbler_(comics)
Llyra	Attuma
Llyra	Krang_(Marvel_Comics)
Llyra	Tiger_Shark_(Marvel_Comics)
Locksmith_(comics)	Daddy_Longlegs_(comics)
